Country,Country code,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ERP,ERP,5,5.75,6.25,5.69,5.08,5.96,5.2,4.72,4.24,5.94,4.6
Abu Dhabi,ABD,0.75,0.75,0.784,0.784,0.572014821,0.688685797,0.489358415,0.480550287,0.490690123,0.852004316,0.72
Albania,ALB,6.75,6.75,7.07,7.07,5.189734463,6.24825841,4.439815434,4.359901691,4.45189766,7.769467933,6.58
Andorra (Principality of),AND,,2.4,3.458,3.458,2.194456857,2.642049147,1.877356827,7.260677967,1.882465744,3.286302363,2.78
Angola,AGO,5.4,4.5,7.07,7.07,6.344164374,9.028044717,6.415043944,7.260677967,6.432501428,11.21805683,9.51
Argentina,ARG,9.75,11.25,10.206,10.206,6.344164374,7.638151564,8.879630868,11.62057966,11.86577933,20.71181922,17.55
Armenia,ARM,4.5,4.5,7.07,7.07,5.189734463,6.24825841,3.550072862,3.486173898,3.5597338,6.207460019,5.26
Aruba,ABW,2.4,2.4,2.506,2.506,1.840847695,2.216316109,1.574844352,1.546498195,1.882465744,3.286302363,2.78
Australia,AUS,0,0,0,0,0,0,0,0,0,0,0
Austria,AUT,0,0,0.63,0.63,0.457611856,0.550948637,0.391486732,0.384440229,0.392552098,0.68971778,0.58
Azerbaijan,AZE,3.3,3.3,3.92,3.92,3.463289732,4.16967946,2.962842764,2.909513554,2.970905653,4.320879033,3.66
Bahamas,BHS,2.4,2.85,2.982,2.982,2.53766575,3.055260626,2.170971875,2.909513554,3.5597338,7.769467933,6.58
Bahrain,BHR,2.85,2.85,4.718,4.718,5.189734463,7.638151564,5.427429689,5.329739543,5.442199544,9.493762383,8.04
Bangladesh,BGD,5.4,5.4,5.656,5.656,4.149707517,4.996102416,3.550072862,3.486173898,3.5597338,6.207460019,6.58
Barbados,BRB,3.75,9.75,11.774,11.774,11.52349857,13.87388841,7.393760773,7.260677967,7.413881674,12.94235128,9.51
Belarus,BLR,9.75,9.75,11.774,11.774,8.642623926,9.028044717,6.415043944,6.299577394,6.432501428,20.71181922,23.49
Belgium,BEL,0.9,0.9,0.952,0.952,0.696818054,0.838944516,0.596127523,0.585397622,0.597749786,1.03457667,0.88
Belize,BLZ,13.5,13.5,14.14,14.14,7.498594285,9.028044717,6.415043944,9.680903956,9.885175565,15.53893587,13.17
Benin,BEN,8.25,,,,,6.24825841,5.427429689,5.329739543,4.45189766,7.769467933,6.58
Bermuda,BMU,0.9,1.05,1.33,1.33,0.97762533,1.177026634,0.836358018,0.821304126,0.838634028,1.460578828,1.24
Bolivia,BOL,5.4,5.4,5.656,5.656,4.149707517,4.996102416,3.550072862,5.329739543,5.442199544,9.493762383,10.97
Bosnia and Herzegovina,BIH,9.75,9.75,10.206,10.206,7.498594285,9.028044717,6.415043944,6.299577394,6.432501428,11.21805683,9.51
Botswana,BWA,1.28,1.28,1.33,1.33,0.97762533,1.177026634,0.836358018,0.821304126,1.186577933,2.06915334,1.75
Brazil,BRA,2.85,2.85,4.718,4.718,3.463289732,4.16967946,2.962842764,2.909513554,2.970905653,5.193169167,4.4
Bulgaria,BGR,2.85,2.85,2.982,2.982,2.194456857,2.642049147,1.877356827,1.546498195,1.579130032,2.75887112,2.34
Burkina Faso,BFA,8.25,9.75,10.206,10.206,6.344164374,7.638151564,5.427429689,5.329739543,5.442199544,12.94235128,10.97
Cambodia,KHM,8.25,8.25,8.638,8.638,6.344164374,7.638151564,5.427429689,5.329739543,5.442199544,9.493762383,8.04
Cameroon,CMR,8.25,8.25,8.638,8.638,6.344164374,7.638151564,5.427429689,5.329739543,5.442199544,9.493762383,10.97
Canada,CAN,0,0,0,0,0,0,0,0,0,0,0
Cape Verde,CPV,8.25,8.25,8.638,8.638,6.344164374,7.638151564,5.427429689,5.329739543,6.432501428,11.21805683,9.51
Cayman Islands,CYM,0.9,0.9,0.952,0.952,0.696818054,0.838944516,0.596127523,0.585397622,0.597749786,1.03457667,0.88
Chile,CHL,0.9,0.9,0.952,0.952,0.696818054,0.976681675,0.693999206,0.681507679,0.695887811,1.460578828,1.24
China,CHN,0.9,0.9,0.952,0.952,0.811221018,0.976681675,0.693999206,0.681507679,0.695887811,1.217149023,1.03
Colombia,COL,3.3,2.85,2.982,2.982,2.194456857,2.642049147,1.877356827,1.843565645,1.882465744,3.286302363,2.78
Congo (Democratic Republic of),COD,,9.75,10.206,10.206,7.498594285,9.028044717,7.393760773,7.260677967,7.413881674,11.21805683,9.51
Congo (Republic of),COG,,5.4,8.638,8.638,10.37946893,12.49651682,8.879630868,8.719803383,8.903795319,15.53893587,13.17
Cook Islands,COK,6.75,6.75,7.07,7.07,5.189734463,6.24825841,4.439815434,4.359901691,4.45189766,7.769467933,6.58
Costa Rica,CRI,3.3,3.75,3.92,3.92,3.463289732,6.24825841,4.439815434,5.329739543,5.442199544,9.493762383,6.58
Côte d'Ivoire,CIV,,6.75,5.656,5.656,4.149707517,4.996102416,3.550072862,3.486173898,3.5597338,6.207460019,5.26
Croatia,HRV,3.75,3.75,4.718,4.718,3.463289732,4.16967946,2.962842764,2.420225989,2.471293891,3.286302363,2.78
Cuba,CUB,11.25,13.5,14.14,14.14,10.37946893,12.49651682,8.879630868,8.719803383,11.86577933,20.71181922,17.55
Curacao,CUW,6.75,1.8,1.89,1.89,1.383235839,1.665367472,1.574844352,1.162057966,1.882465744,3.286302363,3.21
Cyprus,CYP,15,9.75,7.07,7.07,4.149707517,4.16967946,2.962842764,2.909513554,2.471293891,4.320879033,2.78
Czech Republic,CZE,1.05,1.05,1.106,1.106,0.811221018,0.976681675,0.596127523,0.585397622,0.597749786,1.03457667,0.88
Denmark,DNK,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,DOM,6.75,6.75,7.07,7.07,4.149707517,4.996102416,3.550072862,3.486173898,3.5597338,6.207460019,5.26
Ecuador,ECU,11.25,9.75,10.206,10.206,7.498594285,9.028044717,6.415043944,9.680903956,9.885175565,17.26323032,14.63
Egypt,EGY,11.25,11.25,10.206,10.206,7.498594285,9.028044717,5.427429689,5.329739543,5.442199544,9.493762383,10.97
El Salvador,SLV,5.4,5.4,5.656,5.656,8.642623926,10.40541631,6.415043944,6.299577394,7.413881674,17.26323032,14.63
Estonia,EST,1.05,1.05,1.106,1.106,0.811221018,0.976681675,0.693999206,0.681507679,0.695887811,1.217149023,1.03
Ethiopia,ETH,,6.75,7.07,7.07,5.189734463,6.24825841,4.439815434,5.329739543,8.903795319,15.53893587,13.17
Fiji,FJI,6.75,6.75,7.07,7.07,4.149707517,4.996102416,3.550072862,3.486173898,4.45189766,7.769467933,6.58
Finland,FIN,0,0,0.63,0.63,0.457611856,0.550948637,0.391486732,0.384440229,0.392552098,0.68971778,0.58
France,FRA,0.6,0.6,0.784,0.784,0.572014821,0.688685797,0.489358415,0.480550287,0.490690123,0.852004316,0.72
Gabon,GAB,5.4,5.4,7.07,7.07,7.498594285,10.40541631,7.393760773,7.260677967,7.413881674,12.94235128,10.97
Georgia,GEO,5.4,5.4,5.656,5.656,3.463289732,4.16967946,2.962842764,2.909513554,2.970905653,5.193169167,4.4
Germany,DEU,0,0,0,0,0,0,0,0,0,0,0
Ghana,GHA,6.75,8.25,10.206,10.206,7.498594285,9.028044717,6.415043944,6.299577394,6.432501428,20.71181922,14.63
Greece,GRC,15,11.25,15.694,15.694,10.37946893,9.028044717,4.439815434,3.486173898,3.5597338,6.207460019,3.66
Guatemala,GTM,3.75,3.75,3.92,3.92,2.880874642,3.468472104,2.464586924,2.420225989,2.471293891,4.320879033,3.66
Guernsey (States of),GGY,,0.6,0.63,0.63,0.696818054,0.838944516,1.574844352,0,0.597749786,0,1.03
Honduras,HND,8.25,9.75,8.638,8.638,5.189734463,6.24825841,4.439815434,4.359901691,4.45189766,7.769467933,6.58
Hong Kong,HKG,0.6,0.6,0.63,0.63,0.572014821,0.688685797,0.489358415,0.585397622,0.597749786,1.03457667,0.88
Hungary,HUN,3.75,3.75,3.92,3.92,2.53766575,3.055260626,2.170971875,2.131895817,1.882465744,3.286302363,2.78
Iceland,ISL,3.3,3.3,2.982,2.982,1.383235839,1.665367472,0.836358018,0.821304126,0.838634028,1.460578828,1.24
India,IND,3.3,3.3,3.458,3.458,2.194456857,2.642049147,1.877356827,2.131895817,2.176879818,3.79344779,3.21
Indonesia,IDN,3.3,3.3,3.458,3.458,2.53766575,2.642049147,1.877356827,1.843565645,1.882465744,3.286302363,2.78
Iraq,IRQ,,,10.206,10.206,8.642623926,10.40541631,7.393760773,7.260677967,7.413881674,12.94235128,10.97
Ireland,IRL,3.75,2.4,1.89,1.89,0.97762533,1.177026634,0.836358018,0.821304126,0.838634028,1.217149023,0.88
Isle of Man,IMN,0.6,0.6,0.63,0.63,0.572014821,0.688685797,0.489358415,0.585397622,0.597749786,1.03457667,0.88
Israel,ISR,1.05,1.05,1.106,1.106,0.811221018,0.976681675,0.693999206,0.681507679,0.695887811,1.217149023,1.03
Italy,ITA,2.85,2.85,2.982,2.982,2.194456857,3.055260626,2.170971875,2.131895817,2.176879818,3.79344779,3.21
Jamaica,JAM,15,15,14.14,14.14,7.498594285,9.028044717,5.427429689,5.329739543,5.442199544,9.493762383,6.58
Japan,JPN,0.9,1.05,1.106,1.106,0.811221018,0.976681675,0.693999206,0.681507679,0.695887811,1.217149023,1.03
Jersey (States of),JEY,,0.6,0.63,0.63,0.696818054,0.838944516,0.693999206,0,0,0,0.88
Jordan,JOR,6.75,6.75,7.07,7.07,5.189734463,6.24825841,4.439815434,4.359901691,4.45189766,7.769467933,6.58
Kazakhstan,KAZ,2.85,2.85,3.458,3.458,2.53766575,3.055260626,2.170971875,2.131895817,1.882465744,3.286302363,2.78
Kenya,KEN,6.75,6.75,7.07,7.07,5.189734463,7.638151564,5.427429689,5.329739543,5.442199544,9.493762383,9.51
Korea,KOR,0.9,0.9,0.784,0.784,0.572014821,0.688685797,0.489358415,0.480550287,0.490690123,0.852004316,0.72
Kuwait,KWT,0.75,0.75,0.784,0.784,0.572014821,0.688685797,0.489358415,0.681507679,0.695887811,1.217149023,1.03
Kyrgyzstan,KGZ,,,8.638,8.638,6.344164374,7.638151564,5.427429689,5.329739543,5.442199544,11.21805683,9.51
Laos,LAO,,,,,,,,8.719803383,8.903795319,17.26323032,14.63
Latvia,LVA,2.85,2.4,1.89,1.89,1.383235839,1.665367472,1.183357621,1.162057966,1.186577933,2.06915334,1.75
Lebanon,LBN,6.75,8.25,8.638,8.638,7.498594285,9.028044717,8.879630868,19.17865754,20.33948816,24.68593049,23.49
Liechtenstein,LIE,0,0,0,0,0,0,0,0,0,0,0
Lithuania,LTU,2.4,2.4,1.89,1.89,1.383235839,1.665367472,1.183357621,1.162057966,0.838634028,1.460578828,1.24
Luxembourg,LUX,0,0,0,0,0,0,0,0,0,0,0
Macao,MAC,0.9,0.75,0.952,0.952,0.696818054,0.838944516,0.596127523,0.585397622,0.597749786,1.03457667,0.88
Macedonia,MKD,5.4,5.4,5.656,5.656,4.149707517,4.996102416,3.550072862,3.486173898,3.5597338,6.207460019,5.26
Malaysia,MYS,1.8,1.8,1.89,1.89,1.383235839,1.665367472,1.183357621,1.162057966,1.186577933,2.06915334,1.75
Maldives,MDV,,,,,,7.638151564,5.427429689,6.299577394,7.413881674,12.94235128,10.97
Mali,MLI,,,7.649230769,7.649230769,8.646054302,10.40541631,6.415043944,7.260677967,7.413881674,15.53893587,13.17
Malta,MLT,1.8,1.8,1.89,1.89,1.383235839,1.665367472,0.836358018,0.821304126,0.838634028,1.460578828,1.24
Mauritius,MUS,2.4,2.4,2.506,2.506,1.840847695,2.216316109,1.574844352,1.546498195,1.882465744,3.79344779,3.21
Mexico,MEX,2.4,1.8,1.89,1.89,1.383235839,1.665367472,1.183357621,1.546498195,1.579130032,3.286302363,2.78
Moldova,MDA,9.75,9.75,10.206,10.206,7.498594285,9.028044717,6.415043944,6.299577394,6.432501428,11.21805683,9.51
Mongolia,MNG,6.75,8.25,8.638,8.638,8.642623926,9.028044717,6.415043944,6.299577394,6.432501428,11.21805683,9.51
Montenegro,MNE,5.4,5.4,5.656,5.656,5.189734463,6.24825841,4.439815434,4.359901691,4.45189766,7.769467933,6.58
Montserrat,MSR,3.3,3.3,3.458,3.458,2.53766575,3.055260626,2.170971875,2.131895817,2.176879818,3.79344779,3.21
Morocco,MAR,3.75,3.75,3.92,3.92,2.880874642,3.468472104,2.464586924,2.420225989,2.471293891,4.320879033,3.66
Mozambique,MOZ,6.75,6.75,11.774,11.774,11.52349857,13.87388841,8.879630868,8.719803383,8.903795319,15.53893587,13.17
