Country code,country_name,ember_region,target_year,fuel_category,metric,value,source_id,target_type,number_of_updates,collection_year,confidence,g20,g20_exc_3,oecd,asean
ARG,Argentina,Latin America and Caribbean,2030,Hydro,capacity_total_gw,13.21,37,Implicit,1,2023,Medium,1,1,0,0
ARG,Argentina,Latin America and Caribbean,2030,Rest of renewables,capacity_total_gw,19.26,37,Implicit,1,2023,Medium,1,1,0,0
ARG,Argentina,Latin America and Caribbean,2030,Hydro,share_of_generation_pct,21.7,37,Implicit,1,2023,Medium,1,1,0,0
ARG,Argentina,Latin America and Caribbean,2030,Rest of renewables,share_of_generation_pct,25.69,37,Implicit,1,2023,Medium,1,1,0,0
AUS,Australia,Oceania,2030,Hydro,capacity_total_gw,7.21,28,Implicit,1,2023,High,1,1,1,0
AUS,Australia,Oceania,2030,Offshore Wind,capacity_total_gw,0,28,Implicit,1,2023,High,1,1,1,0
AUS,Australia,Oceania,2030,Solar,capacity_total_gw,50.8,28,Implicit,1,2023,High,1,1,1,0
AUS,Australia,Oceania,2030,Wind,capacity_total_gw,34.42,28,Implicit,1,2023,High,1,1,1,0
AUS,Australia,Oceania,2030,Hydro,share_of_generation_pct,6.23,28,Explicit,1,2023,High,1,1,1,0
AUS,Australia,Oceania,2030,Offshore Wind,share_of_generation_pct,0,28,Explicit,1,2023,High,1,1,1,0
AUS,Australia,Oceania,2030,Solar,share_of_generation_pct,31.44,28,Explicit,1,2023,High,1,1,1,0
AUS,Australia,Oceania,2030,Wind,share_of_generation_pct,43.48,28,Explicit,1,2023,High,1,1,1,0
BRA,Brazil,Latin America and Caribbean,2030,Bioenergy,capacity_total_gw,17.17,26,Explicit,1,2023,High,1,1,0,0
BRA,Brazil,Latin America and Caribbean,2030,Hydro,capacity_total_gw,116.81,26,Explicit,1,2023,High,1,1,0,0
BRA,Brazil,Latin America and Caribbean,2030,Other Renewables,capacity_total_gw,5.03,26,Explicit,1,2023,High,1,1,0,0
BRA,Brazil,Latin America and Caribbean,2030,Solar,capacity_total_gw,47.08,26,Explicit,1,2023,High,1,1,0,0
BRA,Brazil,Latin America and Caribbean,2030,Wind,capacity_total_gw,31.16,26,Explicit,1,2023,High,1,1,0,0
BRA,Brazil,Latin America and Caribbean,2030,Bioenergy,share_of_generation_pct,7.08,26,Explicit,1,2023,High,1,1,0,0
BRA,Brazil,Latin America and Caribbean,2030,Hydro,share_of_generation_pct,55.28,26,Explicit,1,2023,High,1,1,0,0
