,Country code,WACC,Year,Technology
1,ABD,9.42,2015,Bioenergy
2,ALB,14.11,2015,Bioenergy
3,AND,11.12,2015,Bioenergy
4,AGO,12.91,2015,Bioenergy
5,ARG,15.6,2015,Bioenergy
6,ARM,13.71,2015,Bioenergy
7,ABW,8.99,2015,Bioenergy
8,AUS,6.84,2015,Bioenergy
9,AUT,6.94,2015,Bioenergy
10,AZE,10.8,2015,Bioenergy
11,BHS,11.42,2015,Bioenergy
12,BHR,13.04,2015,Bioenergy
13,BGD,11.79,2015,Bioenergy
14,BRB,18.06,2015,Bioenergy
15,BLR,18.63,2015,Bioenergy
16,BEL,6.53,2015,Bioenergy
17,BLZ,19.09,2015,Bioenergy
19,BMU,9.91,2015,Bioenergy
20,BOL,11.98,2015,Bioenergy
21,BIH,17.65,2015,Bioenergy
22,BWA,8.42,2015,Bioenergy
23,BRA,9.48,2015,Bioenergy
24,BGR,10.69,2015,Bioenergy
25,BFA,16.22,2015,Bioenergy
26,KHM,15.24,2015,Bioenergy
27,CMR,14.18,2015,Bioenergy
28,CAN,7.05,2015,Bioenergy
29,CPV,14.84,2015,Bioenergy
30,CYM,9.57,2015,Bioenergy
31,CHL,8.08,2015,Bioenergy
32,CHN,7.91,2015,Bioenergy
33,COL,9.61,2015,Bioenergy
34,COD,15.6,2015,Bioenergy
35,COG,14.43,2015,Bioenergy
36,COK,15.31,2015,Bioenergy
37,CRI,10.05,2015,Bioenergy
38,CIV,11.98,2015,Bioenergy
39,HRV,11.51,2015,Bioenergy
40,CUB,19.86,2015,Bioenergy
41,CUW,8.68,2015,Bioenergy
42,CYP,14.31,2015,Bioenergy
43,CZE,8.2,2015,Bioenergy
44,DNK,5.83,2015,Bioenergy
45,DOM,13.15,2015,Bioenergy
46,ECU,16.67,2015,Bioenergy
47,EGY,16.62,2015,Bioenergy
48,SLV,10.41,2015,Bioenergy
49,EST,7.46,2015,Bioenergy
50,ETH,12.91,2015,Bioenergy
51,FJI,13.71,2015,Bioenergy
52,FIN,6.51,2015,Bioenergy
53,FRA,6.92,2015,Bioenergy
54,GAB,12.91,2015,Bioenergy
55,GEO,12.77,2015,Bioenergy
56,DEU,6.07,2015,Bioenergy
57,GHA,16.42,2015,Bioenergy
58,GRC,22.35,2015,Bioenergy
59,GTM,8.98,2015,Bioenergy
60,GGY,9.29,2015,Bioenergy
61,HND,13.1,2015,Bioenergy
62,HKG,8.21,2015,Bioenergy
63,HUN,10.23,2015,Bioenergy
64,ISL,9.97,2015,Bioenergy
65,IND,9.31,2015,Bioenergy
66,IDN,10.02,2015,Bioenergy
67,IRQ,17.24,2015,Bioenergy
68,IRL,9.55,2015,Bioenergy
69,IMN,9.29,2015,Bioenergy
70,ISR,7.94,2015,Bioenergy
71,ITA,8.63,2015,Bioenergy
72,JAM,20.65,2015,Bioenergy
73,JPN,7.56,2015,Bioenergy
74,JEY,9.29,2015,Bioenergy
75,JOR,13.71,2015,Bioenergy
76,KAZ,10.39,2015,Bioenergy
77,KEN,12.91,2015,Bioenergy
78,KOR,7.83,2015,Bioenergy
79,KWT,8.44,2015,Bioenergy
80,KGZ,16.06,2015,Bioenergy
82,LVA,7.83,2015,Bioenergy
83,LBN,15.65,2015,Bioenergy
84,LIE,7.94,2015,Bioenergy
85,LTU,7.83,2015,Bioenergy
86,LUX,5.63,2015,Bioenergy
87,MAC,7.19,2015,Bioenergy
88,MKD,13.16,2015,Bioenergy
89,MYS,8.68,2015,Bioenergy
91,MLI,13.46,2015,Bioenergy
92,MLT,7.99,2015,Bioenergy
93,MUS,8.36,2015,Bioenergy
94,MEX,8.34,2015,Bioenergy
95,MDA,16.99,2015,Bioenergy
96,MNG,14.84,2015,Bioenergy
97,MNE,13.24,2015,Bioenergy
98,MSR,9.65,2015,Bioenergy
99,MAR,10.05,2015,Bioenergy
100,MOZ,17.49,2015,Bioenergy
101,NAM,9.43,2015,Bioenergy
102,NLD,7.15,2015,Bioenergy
103,NZL,6.96,2015,Bioenergy
104,NIC,12.98,2015,Bioenergy
105,NER,16.82,2015,Bioenergy
106,NGA,12.91,2015,Bioenergy
107,NOR,7.03,2015,Bioenergy
108,OMN,10.13,2015,Bioenergy
109,PAK,15.76,2015,Bioenergy
110,PAN,9.61,2015,Bioenergy
111,PNG,14.43,2015,Bioenergy
112,PRY,11.54,2015,Bioenergy
113,PER,8.34,2015,Bioenergy
114,PHL,9.24,2015,Bioenergy
115,POL,8.31,2015,Bioenergy
116,PRT,9.79,2015,Bioenergy
117,QAT,8.77,2015,Bioenergy
118,RAK,9.91,2015,Bioenergy
119,ROU,10.68,2015,Bioenergy
120,RUS,10.8,2015,Bioenergy
121,RWA,12.91,2015,Bioenergy
122,SAU,8.37,2015,Bioenergy
123,SEN,12.91,2015,Bioenergy
124,SRB,14.11,2015,Bioenergy
125,SHJ,10.42,2015,Bioenergy
126,SGP,7.66,2015,Bioenergy
127,SVK,8.06,2015,Bioenergy
128,SVN,10.61,2015,Bioenergy
130,ZAF,9.39,2015,Bioenergy
131,ESP,9.39,2015,Bioenergy
132,LKA,13.07,2015,Bioenergy
133,SXM,8.92,2015,Bioenergy
134,VCT,15.81,2015,Bioenergy
135,SUR,12.55,2015,Bioenergy
137,SWE,6.87,2015,Bioenergy
138,CHE,7.4,2015,Bioenergy
139,TWN,8.45,2015,Bioenergy
141,TZA,13.46,2015,Bioenergy
142,THA,9.56,2015,Bioenergy
143,TGO,13.38,2015,Bioenergy
144,TTO,9.61,2015,Bioenergy
145,TUN,11.98,2015,Bioenergy
146,TUR,10.39,2015,Bioenergy
