Technology,Country,Country code,Year,WACC,,
Solar,Brazil,BRA,2019,14.5,,
Solar,Brazil,BRA,2021,13.6,,
Solar,India,IND,2019,11.7,,
Solar,India,IND,2021,11.2,,
Solar,Indonesia,IDN,2019,8,,
Solar,Indonesia,IDN,2021,8,,
Solar,Mexico,MEX,2019,6.3,,
Solar,Mexico,MEX,2019,6.3,,
Solar,Mexico,MEX,2021,6,,
Solar,Mexico,MEX,2021,6,,
Solar,South Africa,ZAF,2019,6.6,,
Solar,South Africa,ZAF,2019,6.6,,
Solar,South Africa,ZAF,2021,6.6,,
Solar,South Africa,ZAF,2021,6.6,,
Solar,Brazil,BRA,2019,9.3,,
Solar,Brazil,BRA,2021,8.3,,
Solar,India,IND,2019,8,,
Solar,India,IND,2021,8,,
Solar,Indonesia,IDN,2019,10.3,,
Solar,Indonesia,IDN,2021,10.3,,
Solar,South Africa,ZAF,2019,7.2,,
Solar,South Africa,ZAF,2021,5.8,,
Solar,Brazil,BRA,2019,11.2,,
Solar,Brazil,BRA,2021,14,,
Solar,India,IND,2019,8.2,,
Solar,India,IND,2021,8.2,,
Solar,Indonesia,IDN,2019,8.7,,
Solar,Indonesia,IDN,2021,9.5,,
Solar,Mexico,MEX,2019,11.8,,
Solar,Mexico,MEX,2021,11,,
Solar,South Africa,ZAF,2019,12.4,,
Solar,South Africa,ZAF,2021,10.9,,
Solar,Brazil,BRA,2019,12,,
Solar,Brazil,BRA,2021,16,,
Solar,Mexico,MEX,2019,10,,
Solar,Mexico,MEX,2021,12,,
Solar,South Africa,ZAF,2019,12,,
Solar,South Africa,ZAF,2021,16,,
Solar,India,IND,2019,15.9,,
Solar,India,IND,2021,17,,
Solar,Indonesia,IDN,2019,14.4,,
Solar,Indonesia,IDN,2021,15.5,,
Solar,South Africa,ZAF,2019,17.1,,
Solar,South Africa,ZAF,2021,18.1,,
Solar,Brazil,BRA,2021,18,,
Solar,Indonesia,IDN,2019,11,,
Solar,Indonesia,IDN,2021,12,,
Solar,India,IND,2021,9,,
Solar,Brazil,BRA,2021,10,,
Solar,India,IND,2021,9,,
Solar,Mexico,MEX,2021,9.5,,
Solar,South Africa,ZAF,2021,11.5,,
Solar,Indonesia,IDN,2021,8.6,,
Solar,Brazil,BRA,2019,9.1,,
Solar,Brazil,BRA,2021,10.5,,
Solar,India,IND,2019,8.9,,
Solar,India,IND,2021,10.3,,
Solar,Indonesia,IDN,2019,6.5,,
Solar,Indonesia,IDN,2021,8,,
Solar,Mexico,MEX,2019,9.6,,
Solar,Mexico,MEX,2021,11,,
Solar,South Africa,ZAF,2019,10.2,,
Solar,South Africa,ZAF,2021,11.7,,
Solar,Brazil,BRA,2019,11.9,,
Solar,Brazil,BRA,2021,11.2,,
Solar,India,IND,2019,9.6,,
Solar,India,IND,2021,8.9,,
Solar,Indonesia,IDN,2019,8,,
Solar,Indonesia,IDN,2021,7.2,,
Solar,Mexico,MEX,2019,8.9,,
Solar,Mexico,MEX,2021,8.1,,
Solar,South Africa,ZAF,2019,10.2,,
Solar,South Africa,ZAF,2021,9.5,,
Solar,Brazil,BRA,2019,11.1,,
Solar,Brazil,BRA,2021,10.8,,
Solar,Mexico,MEX,2019,9.3,,
Solar,Mexico,MEX,2021,10.3,,
Solar,Brazil,BRA,2019,15.1,,
Solar,Mexico,MEX,2019,12.8,,
Solar,Mexico,MEX,2021,13.1,,
Solar,India,IND,2021,10.7,,
Solar,Indonesia,IDN,2021,8.7,,
Solar,Brazil,BRA,2019,12.6,,
Solar,Brazil,BRA,2021,13.5,,
Solar,Brazil,BRA,2019,12.6,,
Solar,Brazil,BRA,2021,14.7,,
Solar,India,IND,2019,8.2,,
Solar,India,IND,2021,8.2,,
Solar,Indonesia,IDN,2019,10.3,,
Solar,Indonesia,IDN,2021,10.3,,
Solar,Brazil,BRA,2019,12.1,,
Solar,Brazil,BRA,2021,12.7,,
Solar,India,IND,2019,10.6,,
Solar,India,IND,2021,11,,
Solar,Indonesia,IDN,2019,9.2,,
Solar,Indonesia,IDN,2021,9.6,,
Solar,Mexico,MEX,2019,9.9,,
Solar,Mexico,MEX,2021,10.4,,
Solar,South Africa,ZAF,2019,13,,
