WEO Country Code,Country code,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2023,2024,2025,2026,2027,2028,2029,Estimates Start After
512,AFG,Afghanistan,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,,,,,,,,2023
914,ALB,Albania,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,7956.559,8924.317,9474.065,10135.055,10827.923,11578.584,12389.74,2021
612,DZA,Algeria,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,5323.635,5721.678,5869.435,5998.622,6073.858,6129.969,6170.756,2019
171,AND,Andorra,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,43784.571,44899.596,45570.14,46093.258,46597.511,47098.423,47563.642,2022
614,AGO,Angola,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,2565.912,2431.58,2444.365,2455.711,2528.702,2571.26,2617.815,2021
311,ATG,Antigua and Barbuda,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,19123.213,20532.983,21507.87,22250.512,23019.442,23818.088,24647.694,2022
213,ARG,Argentina,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,14024.239,12811.84,11733.98,12314.778,12953.291,13517.009,14002.033,2010
911,ARM,Armenia,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,8153.076,8575.301,9162.97,9837.009,10556.195,11328.096,12161.756,2020
314,ABW,Aruba,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,36745.657,38018.431,39105.779,40354.646,41689.328,43082.996,44523.254,2021
193,AUS,Australia,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,65434.328,66589.055,68613.946,70750.809,72808.266,75319.725,78151.369,2021
122,AUT,Austria,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,57081.047,59225.15,61354.469,63303.028,65025.938,66679.531,68360.109,2023
912,AZE,Azerbaijan,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,7525.428,7640.915,7808.084,8014.664,8256.333,8548.969,8906.405,2022
313,BHS,The Bahamas,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,34224.065,35257.198,36173.394,37053.514,37914.305,38861.507,39829.543,2020
