Country,Country code,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,AUS,3.72,3.66,2.72,2.34,2.64,2.68,1.50,0.92,1.48,3.20,3.94
Austria,AUT,2.01,1.49,0.75,0.38,0.58,0.69,0.06,-0.22,-0.09,1.71,3.08
Belgium,BEL,2.41,1.71,0.84,0.48,0.72,0.80,0.19,-0.15,-0.01,1.73,3.09
Canada,CAN,2.26,2.23,1.52,1.25,1.78,2.28,1.59,0.75,1.36,2.77,3.36
Chile,CHL,5.31,4.74,4.48,4.41,4.24,4.50,3.58,2.80,4.36,6.26,5.66
Colombia,COL,6.50,7.06,7.87,7.92,6.82,7.01,6.50,6.33,7.62,11.64,11.34
Costa Rica,CRI,,9.70,10.10,8.72,8.80,10.05,10.34,,,,
Czechia,CZE,2.11,1.58,0.57,0.43,0.98,1.98,1.55,1.13,1.90,4.33,4.44
Denmark,DNK,1.75,1.32,0.69,0.32,0.48,0.45,-0.18,-0.36,-0.06,1.48,2.64
Estonia,EST,,,,,,,,,0.06,2.29,3.90
Finland,FIN,1.86,1.45,0.72,0.37,0.55,0.66,0.07,-0.22,-0.10,1.66,3.04
France,FRA,2.20,1.67,0.84,0.47,0.81,0.78,0.13,-0.15,0.01,1.70,3.00
Germany,DEU,1.57,1.16,0.50,0.09,0.32,0.40,-0.25,-0.51,-0.37,1.14,2.43
Greece,GRC,10.05,6.93,9.67,8.36,5.98,4.19,2.59,1.27,0.89,3.49,4.00
Hungary,HUN,5.92,4.81,3.43,3.14,2.96,3.06,2.47,2.23,3.06,7.57,7.51
Iceland,ISL,5.79,6.37,6.26,5.60,4.86,5.33,3.97,2.47,3.39,,
Ireland,IRL,3.79,2.37,1.18,0.74,0.80,0.95,0.33,-0.06,0.06,1.75,2.87
Israel,ISR,3.80,2.89,2.07,1.88,1.91,1.99,1.47,0.78,1.12,2.62,3.87
Italy,ITA,4.32,2.89,1.71,1.49,2.11,2.61,1.95,1.17,0.81,3.16,4.28
Japan,JPN,0.69,0.52,0.35,-0.07,0.05,0.07,-0.11,-0.01,0.07,0.23,0.56
Korea,KOR,3.28,3.19,2.31,1.75,2.28,2.50,1.70,1.50,2.06,3.36,3.64
Latvia,LVA,3.34,2.51,0.96,0.53,0.83,0.90,0.34,-0.06,0.00,2.27,3.83
Lithuania,LTU,3.83,2.79,1.38,0.90,0.31,0.31,0.31,0.22,0.16,0.61,2.88
Luxembourg,LUX,1.85,1.34,0.37,0.25,0.54,0.56,-0.12,-0.41,-0.36,1.73,2.97
Netherlands,NLD,1.96,1.45,0.69,0.29,0.52,0.58,-0.07,-0.38,-0.33,1.38,2.79
New Zealand,NZL,4.09,4.30,3.42,2.76,2.99,2.75,1.65,0.89,1.82,3.64,4.62
Norway,NOR,2.58,2.52,1.57,1.33,1.64,1.88,1.49,0.82,1.42,2.88,3.43
Poland,POL,4.03,3.52,2.70,3.04,3.42,3.20,2.35,1.50,1.94,6.05,5.81
Portugal,PRT,6.29,3.75,2.42,3.17,3.05,1.84,0.76,0.42,0.30,2.17,3.24
Slovak Republic,SVK,3.19,2.07,0.89,0.54,0.92,0.89,0.25,-0.04,-0.08,2.07,3.65
Slovenia,SVN,5.81,3.27,1.71,1.15,0.96,0.93,0.28,0.08,0.07,1.89,3.40
Spain,ESP,4.56,2.72,1.74,1.39,1.56,1.42,0.66,0.38,0.35,2.20,3.49
Sweden,SWE,2.12,1.72,0.72,0.52,0.66,0.65,0.09,-0.04,0.27,1.52,2.51
Switzerland,CHE,0.95,0.69,-0.07,-0.36,-0.07,0.03,-0.49,-0.52,-0.23,0.83,1.03
United Kingdom,GBR,2.39,2.57,1.90,1.31,1.24,1.46,0.94,0.37,0.79,2.45,4.06
United States,USA,2.35,2.54,2.14,1.84,2.33,2.91,2.14,0.89,1.44,2.95,3.96
Euro area (19 countries),EUR,3.01,2.28,1.27,0.93,1.17,1.26,0.58,0.21,0.20,2.04,3.27
