Country,Country code,Technology,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036
Albania,ALB,Biomass,13.06,12.4,11.28,12.75,10.4,9.18,9.45,13.64,13.26,12.1,11.83,11.840000000000002,11.87,11.88,11.9,11.91,11.910000000000002,11.92,11.93,11.93,11.94,11.95
Albania,ALB,Biomass (CCUS),14.52,13.86,12.72,14.2,11.84,10.62,10.88,15.08,14.71,13.53,13.27,13.27,13.3,13.32,13.33,13.34,13.35,13.36,13.36,13.37,13.38,13.38
Albania,ALB,Coal Power (CCUS),13.06,12.4,11.28,12.75,10.4,9.18,9.45,13.64,13.26,12.1,11.83,11.840000000000002,11.87,11.88,11.9,11.91,11.910000000000002,11.92,11.93,11.93,11.94,11.95
Albania,ALB,Coal Power (Retrofits),12.38,11.72,10.61,12.08,9.73,8.51,8.78,12.96,12.589999999999998,11.43,11.16,11.17,11.2,11.21,11.23,11.24,11.25,11.25,11.26,11.270000000000001,11.27,11.28
Albania,ALB,Energy from Waste,13.609999999999998,12.95,11.82,13.3,10.94,9.72,9.99,14.19,13.81,12.64,12.38,12.38,12.41,12.43,12.44,12.45,12.46,12.47,12.47,12.479999999999999,12.48,12.49
Albania,ALB,Floating Offshore,15.52,14.85,13.71,15.18,12.820000000000002,11.6,11.87,16.07,15.69,14.51,14.25,14.25,14.289999999999997,14.300000000000002,14.31,14.320000000000002,14.33,14.34,14.34,14.35,14.36,14.36
Albania,ALB,Gas (CCUS),14.52,13.86,12.72,14.2,11.84,10.62,10.88,15.08,14.71,13.53,13.27,13.27,13.3,13.32,13.33,13.34,13.35,13.36,13.36,13.37,13.38,13.38
Albania,ALB,Gas (unabated),13.609999999999998,12.95,11.82,13.3,10.94,9.72,9.99,14.19,13.81,12.64,12.38,12.38,12.41,12.43,12.44,12.45,12.46,12.47,12.47,12.479999999999999,12.48,12.49
Albania,ALB,Geothermal,14.52,13.86,12.72,14.2,11.84,10.62,10.88,15.08,14.71,13.53,13.27,13.27,13.3,13.32,13.33,13.34,13.35,13.36,13.36,13.37,13.38,13.38
Albania,ALB,Hydroelectric,12.02,11.36,10.26,11.73,9.38,8.16,8.43,12.61,12.24,12.64,12.38,12.38,12.41,12.43,12.44,12.45,12.46,12.47,12.47,12.479999999999999,12.48,12.49
Albania,ALB,Hydrogen Power (CCGT),14.52,13.86,12.72,14.2,11.84,10.62,10.88,15.08,14.71,13.53,13.27,13.27,13.3,13.32,13.33,13.34,13.35,13.36,13.36,13.37,13.38,13.38
Albania,ALB,Hydrogen Production (Electrolysis),14.52,13.86,12.72,14.2,11.84,10.62,10.88,15.08,14.71,13.53,13.27,13.27,13.3,13.32,13.33,13.34,13.35,13.36,13.36,13.37,13.38,13.38
Albania,ALB,Large-scale Nuclear,12.609999999999998,11.95,10.84,12.31,9.959999999999999,8.74,9.01,13.2,12.82,11.66,11.4,11.4,11.43,11.44,11.46,11.47,11.479999999999999,11.48,11.49,11.5,11.5,11.51
