,,WACC,WACC,WACC,WACC,WACC,WACC,WACC,WACC,WACC,WACC
Technology,,Bioenergy,Gas,Gas CCUS,Geothermal,Hydro,Solar,Tidal,Wave,Wind,Wind Offshore
Country code,Year,,,,,,,,,,
ABD,2015,9.6,8.85,9.6,10.81,9.11,9.11,9.45,9.45,9.45,10.45
ABD,2016,9.18,8.43,9.18,10.39,8.69,8.69,9.03,9.03,9.03,10.03
ABD,2017,9.290000000000001,8.54,9.290000000000001,10.5,8.8,8.8,9.14,9.14,9.14,10.14
ABD,2018,10.18,9.43,10.18,11.39,9.69,9.69,10.03,10.03,10.03,11.03
ABD,2019,9.04,8.29,9.04,10.25,8.55,8.55,8.89,8.89,8.89,9.89
ABD,2020,7.68,6.93,7.68,8.89,7.19,7.19,7.53,7.53,7.53,8.53
ABD,2021,8.14,7.39,8.14,9.35,7.650000000000001,7.650000000000001,7.989999999999999,7.989999999999999,7.989999999999999,8.99
ABD,2022,10.38,9.63,10.38,11.59,9.89,9.89,10.23,10.23,10.23,11.23
ABD,2023,10.97,10.22,10.97,12.18,10.48,10.48,10.82,10.82,10.82,11.82
ABW,2015,11.51,10.76,11.51,12.72,11.02,11.02,11.36,11.36,9.61,10.61
ABW,2016,11.06,10.31,11.06,12.27,10.57,10.57,10.91,10.91,9.16,10.16
ABW,2017,10.64,9.89,10.64,11.85,10.15,10.15,10.49,10.49,8.74,9.74
ABW,2018,11.82,11.07,11.82,13.03,11.33,11.33,11.67,11.67,9.92,10.92
ABW,2019,10.21,9.46,10.21,11.42,9.72,9.72,10.06,10.06,8.31,9.31
ABW,2020,8.81,8.06,8.81,10.02,8.32,8.32,8.66,8.66,6.91,7.91
ABW,2021,9.59,8.84,9.59,10.800000000000002,9.1,9.1,9.44,9.44,7.69,8.69
ABW,2022,12.97,12.22,12.97,14.18,12.48,12.48,12.82,12.82,11.07,12.07
ABW,2023,13.12,12.37,13.12,14.33,12.63,12.63,12.97,12.97,11.22,12.22
AGO,2015,14.25,13.62,14.25,15.270000000000001,12.36,13.84,14.12,14.12,14.12,14.970000000000002
AGO,2016,13.78,13.15,13.78,14.81,11.89,13.37,13.66,13.66,13.66,14.5
AGO,2017,12.99,12.36,12.99,13.99,11.12,12.58,12.86,12.86,12.86,13.69
AGO,2018,16.3,15.67,16.3,17.32,14.42,15.89,16.18,16.18,16.18,17.02
AGO,2019,13.059999999999999,12.43,13.059999999999999,14.069999999999999,11.19,12.65,12.930000000000001,12.930000000000001,12.930000000000001,13.77
AGO,2020,12.59,11.97,12.59,13.61,10.72,12.18,12.47,12.47,12.47,13.31
AGO,2021,12.050000000000002,11.43,12.050000000000002,13.06,10.19,11.64,11.93,11.93,11.93,12.76
AGO,2022,18.34,17.7,18.34,19.36,16.44,17.92,18.21,18.21,18.21,19.05
AGO,2023,17.09,16.46,17.09,18.1,15.2,16.67,16.96,16.96,16.96,17.8
ALB,2015,15.18,14.5,15.18,16.27,13.14,14.729999999999999,15.04,15.04,15.04,15.949999999999998
ALB,2016,14.69,14.01,14.69,15.79,12.66,14.25,14.55,14.55,14.55,15.46
ALB,2017,12.8,12.13,12.8,13.89,10.8,12.37,12.67,12.67,12.67,13.570000000000002
ALB,2018,14.6,13.93,14.6,15.69,12.589999999999998,14.160000000000002,14.47,14.47,14.47,15.36
ALB,2019,11.99,11.32,11.99,13.069999999999999,9.98,11.55,11.85,11.85,11.85,12.75
ALB,2020,10.61,9.94,10.61,11.69,8.61,10.17,10.48,10.48,10.48,11.37
ALB,2021,11.03,10.36,11.03,12.11,9.03,10.6,10.9,10.9,10.9,11.79
ALB,2022,16.08,15.41,16.08,17.17,14.07,15.64,15.94,15.94,15.94,16.84
ALB,2023,15.41,14.74,15.41,16.5,13.4,14.97,15.28,15.28,15.28,16.17
AND,2015,12.56,11.81,12.56,13.77,12.07,12.07,12.41,12.41,12.41,13.41
AND,2016,12.1,11.35,12.1,13.31,11.61,11.61,11.95,11.95,11.95,12.95
AND,2017,11.01,10.26,11.01,12.22,10.52,10.52,10.86,10.86,10.86,11.86
AND,2018,12.270000000000001,11.520000000000001,12.270000000000001,13.479999999999999,11.78,11.78,12.12,12.12,12.12,13.12
AND,2019,10.53,9.78,10.53,11.74,10.04,10.04,10.38,10.38,10.38,11.38
AND,2020,14.85,14.1,14.85,16.06,14.36,14.36,14.7,14.7,14.7,15.7
AND,2021,9.59,8.84,9.59,10.800000000000002,9.1,9.1,9.44,9.44,9.44,10.44
AND,2022,12.97,12.22,12.97,14.18,12.48,12.48,12.82,12.82,12.82,13.82
AND,2023,13.12,12.37,13.12,14.33,12.63,12.63,12.97,12.97,12.97,13.97
ARE,2015,8.99,8.29,8.99,10.12,8.54,8.54,8.85,8.85,8.85,9.78
ARE,2016,8.59,7.89,8.59,9.71,8.13,8.13,8.45,8.45,8.45,9.38
ARE,2017,8.68,7.9799999999999995,8.68,9.8,8.22,8.22,8.54,8.54,8.54,9.47
ARE,2018,9.52,8.82,9.52,10.64,9.06,9.06,9.38,9.38,9.38,10.31
ARE,2019,8.45,7.75,8.45,9.57,8.0,8.0,8.31,8.31,8.31,9.24
ARE,2020,7.18,6.48,7.18,8.3,6.72,5.91,7.04,7.04,7.04,7.97
ARE,2021,7.59,6.900000000000001,7.59,8.72,7.14,6.330000000000001,7.46,7.46,7.46,8.38
ARE,2022,9.71,9.01,9.71,10.83,9.25,8.44,9.57,9.57,9.57,10.5
ARE,2023,10.23,9.54,10.23,11.36,9.78,8.96,10.09,10.09,10.09,11.02
ARG,2015,16.62,16.02,16.62,17.61,14.809999999999999,16.23,16.5,16.5,16.5,17.31
ARG,2016,16.12,15.51,16.12,17.1,14.31,15.73,16.0,16.0,16.0,16.81
ARG,2017,12.01,11.44,12.01,12.94,10.3,11.64,11.9,11.9,11.9,12.66
