Country code,Year,Bioenergy,Gas,Gas CCUS,Geothermal,Hydro,Solar,Tidal,Wave,Wind,Wind Offshore
ABW,2015,13.38,12.63,13.38,14.59,12.89,12.89,13.23,13.23,11.48,12.48
ABW,2016,12.98,12.23,12.98,14.19,12.49,12.49,12.83,12.83,11.08,12.08
ABW,2017,12.76,12.01,12.76,13.97,12.27,12.27,12.61,12.61,10.86,11.86
ABW,2018,13.99,13.24,13.99,15.2,13.5,13.5,13.84,13.84,12.09,13.09
ABW,2019,11.31,10.56,11.31,12.520000000000001,10.82,10.82,11.160000000000002,11.160000000000002,9.41,10.41
ABW,2020,10.06,9.31,10.06,11.27,9.57,9.57,9.91,9.91,8.16,9.16
ABW,2021,10.49,9.74,10.49,11.7,10.0,10.0,10.34,10.34,8.59,9.59
ABW,2022,13.81,13.06,13.81,15.020000000000001,13.32,13.32,13.660000000000002,13.660000000000002,11.910000000000002,12.910000000000002
ABW,2023,13.98,13.23,13.98,15.19,13.49,13.49,13.83,13.83,12.08,13.08
ABW,2024,14.23,13.48,14.23,15.44,13.74,13.74,14.08,14.08,14.08,15.08
ABW,2025,12.7,11.95,12.7,13.909999999999998,12.21,12.21,12.55,12.55,12.55,13.55
ABW,2026,12.29,11.54,12.29,13.5,11.8,11.8,12.14,12.14,12.14,13.14
ABW,2027,12.22,11.47,12.22,13.43,11.73,11.73,12.07,12.07,12.07,13.07
ABW,2028,12.33,11.58,12.33,13.54,11.84,11.84,12.18,12.18,12.18,13.18
ABW,2029,12.43,11.68,12.43,13.64,11.94,11.94,12.28,12.28,12.28,13.28
ABW,2030,12.54,11.79,12.54,13.75,12.05,12.05,12.39,12.39,12.39,13.39
AGO,2015,12.11,11.48,12.11,13.13,10.22,11.7,11.98,11.98,11.98,12.830000000000002
AGO,2016,11.42,10.79,11.42,12.45,9.53,11.01,11.3,11.3,11.3,12.14
AGO,2017,10.76,10.14,10.76,11.77,8.9,10.36,10.64,10.64,10.64,11.47
AGO,2018,13.01,12.38,13.01,14.03,11.13,12.6,12.89,12.89,12.89,13.73
AGO,2019,10.69,10.06,10.69,11.699999999999998,8.82,10.28,10.56,10.56,10.56,11.4
AGO,2020,12.29,11.66,12.29,13.3,10.41,11.87,12.16,12.16,12.16,13.0
AGO,2021,9.62,9.0,9.62,10.63,7.76,9.21,9.5,9.5,9.5,10.33
AGO,2022,14.21,13.58,14.21,15.24,12.32,13.800000000000002,14.089999999999998,14.089999999999998,14.089999999999998,14.93
AGO,2023,13.53,12.9,13.53,14.54,11.64,13.11,13.4,13.4,13.4,14.24
AGO,2024,13.16,12.54,13.16,14.18,12.75,12.75,13.04,13.04,13.04,13.87
AGO,2025,16.01,15.38,16.01,17.02,15.599999999999998,15.599999999999998,15.88,15.88,15.88,16.72
AGO,2026,15.67,15.040000000000001,15.67,16.68,15.26,15.26,15.540000000000001,15.540000000000001,15.540000000000001,16.38
AGO,2027,15.58,14.95,15.58,16.6,15.17,15.17,15.459999999999999,15.459999999999999,15.459999999999999,16.29
AGO,2028,15.659999999999998,15.030000000000001,15.659999999999998,16.68,15.25,15.25,15.540000000000001,15.540000000000001,15.540000000000001,16.37
AGO,2029,15.73,15.099999999999998,15.73,16.75,15.32,15.32,15.609999999999998,15.609999999999998,15.609999999999998,16.44
AGO,2030,15.82,15.2,15.82,16.84,15.409999999999998,15.409999999999998,15.7,15.7,15.7,16.54
ALB,2015,11.75,11.07,11.75,12.84,9.71,11.3,11.61,11.61,11.61,12.52
